Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
83	19	0	1.56314869	300.159392	300.158837	300.157586	300.160532	0.00294603522	0.00475184991	0	100	0	0	3
84	19	0	1.58198181	300.159441	300.158906	300.157694	300.160532	0.00283870672	0.00475184991	0	100	0	0	3
85	19	0	1.60081493	300.159874	300.158964	300.157694	300.160532	0.00283870672	0.00475184991	0	100	0	0	3
86	20	0	1.61964805	300.159909	300.159026	300.157694	300.160532	0.00283870672	0.00475184991	0	100	0	0	3
87	20	0	1.63848116	300.159999	300.159083	300.157694	300.160532	0.00272246659	0.00475184991	0	100	0	0	3
88	20	0	1.65731428	300.159867	300.159163	300.157694	300.160532	0.00232478554	0.00475184991	0	100	0	0	3
89	20	0	1.6761474	300.160043	300.159226	300.157694	300.160532	0.00202325041	0.00475184991	0	100	0	0	3
90	20	0	1.69498051	300.159575	300.159267	300.157694	300.160532	0.00178849386	0.00475184991	0	100	0	0	3
91	21	0	1.71381363	300.160107	300.159327	300.157694	300.160532	0.00167062065	0.00475184991	0	100	0	0	3
92	21	0	1.73264675	300.158894	300.159371	300.157888	300.160532	0.00157632021	0.00475184991	0	100	0	0	3
93	21	0	1.75147986	300.159692	300.159438	300.157888	300.160532	0.00154709861	0.00475184991	0	100	0	0	3
94	21	0	1.77031298	300.158814	300.159472	300.158208	300.160532	0.0015181396	0.00475184991	0	100	0	0	3
95	22	0	1.7891461	300.159861	300.15953	300.158208	300.160532	0.00156280463	0.00475184991	0	100	0	0	3
